fecha_divulgada,nombre_proyecto,tipo_documento,numero_proyecto,url_proyecto,linea_producto,nombre_empresa,pais,codigo_pais_ifc,industria,categoria_ambiental,departamento,estado,inversion_ifc_gestion_riesgo_millones_usd,inversion_ifc_garantia_millones_usd,inversion_ifc_prestamo_millones_usd,inversion_ifc_capital_millones_usd,total_inversion_ifc_aprobada_junta_millones_usd,codigo_pais_bm
2010-02-04,The Mwalimu Nyerere Foundation House,Summary of Proposed Investment (Disclosure Policy 2006),29058,https://disclosures.ifc.org/project-detail/SPI/29058/the-mwalimu-nyerere-foundation-house,Loan,CRJE ESTATE LIMITED,World Region,WLD,"Tourism, Retail, and Property",B,"Gbl Ind, Manufact, Agribus & Services",Active,0.0,0.0,11.0,0.0,11.0,99
2010-01-07,RIF II,Summary of Proposed Investment (Disclosure Policy 2006),28800,https://disclosures.ifc.org/project-detail/SPI/28800/rif-ii,Equity,Rural Impulse Fund SA,World Region,WLD,Financial Institutions,FI,NonBanking & Alternative Finance,Active,0.0,0.0,0.0,13.31,13.31,99
2009-12-08,WaterHealth Inc,Summary of Proposed Investment (Disclosure Policy 2006),29090,https://disclosures.ifc.org/project-detail/SPI/29090/waterhealth-inc,Equity,WaterHealth International,World Region,WLD,Infrastructure,B,Regional Industry - INF Asia & Pac,Active,0.0,0.0,0.0,5.0,5.0,99
2009-09-28,IFC Emerging Market Secondaries Fund,Summary of Proposed Investment (Disclosure Policy 2006),28049,https://disclosures.ifc.org/project-detail/SPI/28049/ifc-emerging-market-secondaries-fund,Equity,EMERGING MARKET SECONDARIES FUND,World Region,WLD,Infrastructure,FI,"TMT, Venture Capital &amp; Funds",Completed,0.0,0.0,0.0,100.0,100.0,99
2009-10-08,LeapFrog Fund,Summary of Proposed Investment (Disclosure Policy 2006),28620,https://disclosures.ifc.org/project-detail/SPI/28620/leapfrog-fund,Equity,LEAPFROG FINANCIAL INCLUSION FUND,World Region,WLD,Funds,C,NonBanking & Alternative Finance,Active,0.0,0.0,0.0,20.0,20.0,99
2009-09-21,SCB-Mezz Trade,Summary of Proposed Investment (Disclosure Policy 2006),28169,https://disclosures.ifc.org/project-detail/SPI/28169/scb-mezz-trade,Guarantee,STANDARD CHARTERED BANK,World Region,WLD,Financial Institutions,C,"Global Industry, Financial Markets",Completed,0.0,60.0,0.0,0.0,60.0,99
2009-08-28,PEEP - BPI,Summary of Proposed Investment (Disclosure Policy 2006),26934,https://disclosures.ifc.org/project-detail/SPI/26934/peep---bpi,Guarantee,BANK OF THE PHILIPPINE ISLANDS,Philippines,PHL,Financial Institutions,FI,Regional Industry - FIG Asia & Pac,Completed,0.0,21.0,0.0,0.0,21.0,PH
2009-07-31,GTLP JPMC,Summary of Proposed Investment (Disclosure Policy 2006),28541,https://disclosures.ifc.org/project-detail/SPI/28541/gtlp-jpmc,Loan,"JPMORGAN CHASE BANK, NA",World Region,WLD,Financial Institutions,C,"Global Industry, Financial Markets",Completed,0.0,0.0,100.0,0.0,100.0,99
2009-07-29,Cleaner Production Lending Facility,Summary of Proposed Investment (Disclosure Policy 2006),28163,https://disclosures.ifc.org/project-detail/SPI/28163/cleaner-production-lending-facility,Loan,INTERNATIONAL FINANCE CORPORATION,World Region,WLD,Financial Institutions,B,"Gbl Ind, Manufact, Agribus &amp; Services",Pending Signing,0.0,0.0,125.0,0.0,125.0,99
2009-07-22,Project Name Pending,Summary of Proposed Investment (Disclosure Policy 2006),28285,https://disclosures.ifc.org/project-detail/SPI/28285/project-name-pending,Equity,Company Name Pending,World Region,WLD,Financial Institutions,FI,"Disruptive Tech, Service & Funds",Active,0.0,0.0,0.0,10.0,10.0,99
